"Median income for 4-person families, by state"						
Calendar year	2003	2004	2005			
United States	62732	63278	62228			
Alabama	53754	54594	51451			
Alaska	69868	71395	66874			
Arizuna	56857	56067	55663			
Arkansas	49551	47838	44537			
California	65766	63761	63206			
Colorado	68089	67634	66624			
Connecticut	81891	82517	82702			
Delaware	69469	73301	69360			
District of Columbia	55692	61799	63406			
Florida	57473	56824	55351			
Georgia	60676	59497	59489			
Hawaii	67564	66014	65872			
Idaho	54279	51098	53722			
Illinois	69168	66507	68117			
Indiana	63022	63573	62079			
Iowa	61238	61656	57921			
Kanses	61926	61686	56784			
Kentucky	54030	54319	51249			
Louisiana	52299	51234	47363			
Maine	58802	58425	56186			
Maryland	77938	82879	77562			
Massachusetts	78312	80247	78025			
Michigan	67995	68337	68740			
Minnesota	72379	72635	70553			
Mississippi	47847	46810	46331			
Missouri	59764	61036	61173			
Montana	51791	48078	46142			
Nebraska	60129	60626	57040			
Nevada	59588	59283	59614			
New Hampshire	72369	72606	71661			
New Jersey	82406	80577	78560			
New Mexico	48422	46596	47314			
New York	65461	66498	64520			
North Carolina	58227	56500	57203			
North Dakta	57070	55138	53140			
Ohio	63934	64282	62251			
Oklahoma	51377	53949	48459			
Oregon	60262	58737	58315			
Pennsylvania	64310	66130	65411			
Rhode Island	67646	70446	68418			
South Carolina	56110	59212	56294			
South Dakota	55359	59718	55150			
Tennessee	55605	56052	54899			
Texas	56278	56606	53513			
Utah	59864	59035	57043			
Vermont	62331	62938	59125			
Virginia	66889	69616	68054			
Warshington	66531	65997	63568			
West Virginia	47550	49470	46270			
Wisconsin	66988	65441	66725			
Wyoming	57148	58541	55859
